#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
0d1c39644bdf6d6982888e3f445128f7	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
94befefd58b96b9f30c476dabd6beac5	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
1d2c06f141cd8e2820c0220ffac2e557	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Coprococcus	 s__
68f1f0d81464304658e5cee6f2ec1677	k__Bacteria	Tenericutes	 c__Mollicutes	 o__Entomoplasmatales	 f__	 g__	 s__
e6d9fe4bfdd2114788308701911d6a9e	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__	 g__	 s__
d62fa3dfb901069ebd79ac5fc5acd1fe	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__Holdemania	 s__
17c34997880c9547b4f73a73582b13da	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	
f43c56d983a42f7661f4527ef440cdae	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
f7376ee1bcfce9c75540bfd83b6a64bc	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Dorea	 s__
60e1a49d946a4be5c59e62c73468950d	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
715b9857cdae34d5dc6c3efc277ede02	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
af1fdd3cf299ffe60c3d57783066c26c	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
892a20bbdc3ce599dc0c5d9f0866c352	k__Bacteria	Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Enterococcaceae	 g__Enterococcus	 s__
5ef438a81a6bba7c617f830d6929ac31	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
88ab2cd29ffd1301e72c8be1e99cab8b	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Coprococcus	 s__
b89c04644d5d3bdad2018af3b2aada85	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
901e4690ae06c9889387df9702ac52a6	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
e2e4cb81137eba477145c34faddf9a4a	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Clostridium	
dfcecd66b5e96671f38919f52c4d441e	k__Bacteria	Tenericutes	 c__Mollicutes	 o__RF39	 f__	 g__	 s__
f2442b9c3735b3b0db5c7eae5bcdf397	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Clostridium	
19d5cad4e1675bda03747c35f4745f09	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
fb75fa1fac5ad54c9d64c653e50a7126	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Bradyrhizobiaceae	 g__Bradyrhizobium	 s__
e30b930baec22de45d2af23695a76350	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__	 s__
4c52a8029625903bb8c4aa9b40216836	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Peptostreptococcaceae	 g__[Clostridium]	
fafa4ce975c89cd56e144a9c9fef87de	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
ab2bfb86c1caa884497b8339f51705e6	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__Clostridium	 s__symbiosum
3aed36cdc72ec555c7609c7bb4617d38	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
69dd513738245267a58eff2c5e1a5026	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
7bb46f6ad6f866867edcf4b4cda93c50	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Anaplasmataceae	 g__Anaplasma	 s__
104f537496b13aa1b1195d65cf815447	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__RF32	 f__	 g__	 s__
86fd0747cc3d415d1facf54902783f77	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Oscillospira	 s__
