index	names	Swab	Smallintestine
Sg.M.HC.8.16S	d__Bacteria.p__Desulfobacterota	0.6170300500969987	0
Sg.M.HC.8.16S	d__Bacteria.p__Actinobacteriota	-1.8474522598140695	0
Sg.M.HC.8.16S	d__Bacteria.p__Cyanobacteria	-2.1994616509586447	0
Sg.M.HC.8.16S	d__Bacteria.p__Campilobacterota	5.893339141629296	0
Sg.M.HC.8.16S	d__Bacteria.p__Verrucomicrobiota	0.5716898832638595	0
Sg.M.HC.8.16S	d__Bacteria.__Unassaigned	-3.168914047241426	0
Sg.M.HC.8.16S	d__Bacteria.p__Spirochaetota	-6.860527757579652	0
Sg.M.HC.8.16S	d__Bacteria.p__Acidobacteriota	-4.523384528770542	0
Sg.M.HC.8.16S	d__Bacteria.p__Deferribacterota	-7.266595954011052	0
Sg.M.HC.9.16S	d__Bacteria.p__Firmicutes	5.5365361790504055	0
Sg.M.HC.9.16S	d__Bacteria.p__Bacteroidota	1.4681736513949446	0
Sg.M.HC.9.16S	d__Bacteria.p__Proteobacteria	11.405535694412471	0
Sg.M.HC.9.16S	d__Bacteria.p__Desulfobacterota	1.4689058451031687	0
Sg.M.HC.9.16S	d__Bacteria.p__Actinobacteriota	-1.3392577849063554	0
Sg.M.HC.9.16S	d__Bacteria.p__Cyanobacteria	-1.6912671760509301	0
Sg.M.HC.9.16S	d__Bacteria.p__Campilobacterota	1.468899512937566	0
Sg.M.HC.9.16S	d__Bacteria.p__Verrucomicrobiota	1.4691184660305479	0
Sg.M.HC.9.16S	d__Bacteria.__Unassaigned	-2.6607195723337123	0
Sg.M.HC.9.16S	d__Bacteria.p__Spirochaetota	-6.352333282671938	0
Sg.M.HC.9.16S	d__Bacteria.p__Acidobacteriota	-4.015190053862828	0
Sg.M.HC.9.16S	d__Bacteria.p__Deferribacterota	-6.758401479103338	0
Sg.M.I.10.16S	d__Bacteria.p__Firmicutes	0	8.133987124739704
Sg.M.I.10.16S	d__Bacteria.p__Bacteroidota	0	8.220921917390795
Sg.M.I.10.16S	d__Bacteria.p__Proteobacteria	0	3.221179064460963
Sg.M.I.10.16S	d__Bacteria.p__Desulfobacterota	0	4.013417147665138
Sg.M.I.10.16S	d__Bacteria.p__Actinobacteriota	0	-3.0361055463243303
Sg.M.I.10.16S	d__Bacteria.p__Cyanobacteria	0	-3.3881149374689055
Sg.M.I.10.16S	d__Bacteria.p__Campilobacterota	0	-1.7732196333933277
Sg.M.I.10.16S	d__Bacteria.p__Verrucomicrobiota	0	5.3949833675890835
Sg.M.I.10.16S	d__Bacteria.__Unassaigned	0	1.4294195952329076
Sg.M.I.10.16S	d__Bacteria.p__Spirochaetota	0	-8.049181044089913
Sg.M.I.10.16S	d__Bacteria.p__Acidobacteriota	0	-5.712037815280803
Sg.M.I.10.16S	d__Bacteria.p__Deferribacterota	0	-8.455249240521313
Sg.M.I.4.16S	d__Bacteria.p__Firmicutes	0	5.532102174711605
Sg.M.I.4.16S	d__Bacteria.p__Bacteroidota	0	4.605340142970155
Sg.M.I.4.16S	d__Bacteria.p__Proteobacteria	0	10.732592307442129
Sg.M.I.4.16S	d__Bacteria.p__Desulfobacterota	0	-0.5609024796451916
Sg.M.I.4.16S	d__Bacteria.p__Actinobacteriota	0	-2.0700209017137
Sg.M.I.4.16S	d__Bacteria.p__Cyanobacteria	0	-2.4220302928582753
Sg.M.I.4.16S	d__Bacteria.p__Campilobacterota	0	-0.5609088118107943
Sg.M.I.4.16S	d__Bacteria.p__Verrucomicrobiota	0	-0.5606898587178124
Sg.M.I.4.16S	d__Bacteria.__Unassaigned	0	4.622731885682024
Sg.M.I.4.16S	d__Bacteria.p__Spirochaetota	0	-7.083096399479283
Sg.M.I.4.16S	d__Bacteria.p__Acidobacteriota	0	-4.745953170670173
Sg.M.I.4.16S	d__Bacteria.p__Deferribacterota	0	-7.489164595910683
Sg.M.I.5.16S	d__Bacteria.p__Firmicutes	0	7.959473586521643
Sg.M.I.5.16S	d__Bacteria.p__Bacteroidota	0	7.196047579570703
Sg.M.I.5.16S	d__Bacteria.p__Proteobacteria	0	4.542408147394448
Sg.M.I.5.16S	d__Bacteria.p__Desulfobacterota	0	3.2774746432788247
Sg.M.I.5.16S	d__Bacteria.p__Actinobacteriota	0	0.12759168989757508
Sg.M.I.5.16S	d__Bacteria.p__Cyanobacteria	0	-2.0808421704411515
Sg.M.I.5.16S	d__Bacteria.p__Campilobacterota	0	-2.0942182857169342
Sg.M.I.5.16S	d__Bacteria.p__Verrucomicrobiota	0	2.361183911404669
Sg.M.I.5.16S	d__Bacteria.__Unassaigned	0	-3.036338250818202
Sg.M.I.5.16S	d__Bacteria.p__Spirochaetota	0	-6.727951961156428
Sg.M.I.5.16S	d__Bacteria.p__Acidobacteriota	0	-4.390808732347318
Sg.M.I.5.16S	d__Bacteria.p__Deferribacterota	0	-7.134020157587829
Sg.M.I.6.16S	d__Bacteria.p__Firmicutes	0	8.5825697268263
Sg.M.I.6.16S	d__Bacteria.p__Bacteroidota	0	8.601869462485027
Sg.M.I.6.16S	d__Bacteria.p__Proteobacteria	0	3.6811337246950364
Sg.M.I.6.16S	d__Bacteria.p__Desulfobacterota	0	4.73267850250516
Sg.M.I.6.16S	d__Bacteria.p__Actinobacteriota	0	-2.5761508860902564
Sg.M.I.6.16S	d__Bacteria.p__Cyanobacteria	0	-2.9281602772348316
Sg.M.I.6.16S	d__Bacteria.p__Campilobacterota	0	-0.809359792237837
Sg.M.I.6.16S	d__Bacteria.p__Verrucomicrobiota	0	5.449636331758824
Sg.M.I.6.16S	d__Bacteria.__Unassaigned	0	-3.8976126735176133
Sg.M.I.6.16S	d__Bacteria.p__Spirochaetota	0	-7.58922638385584
Sg.M.I.6.16S	d__Bacteria.p__Acidobacteriota	0	-5.252083155046729
Sg.M.I.6.16S	d__Bacteria.p__Deferribacterota	0	-7.995294580287241
Sg.M.I.7.16S	d__Bacteria.p__Firmicutes	0	6.338601568050414
Sg.M.I.7.16S	d__Bacteria.p__Bacteroidota	0	6.403575633929242
Sg.M.I.7.16S	d__Bacteria.p__Proteobacteria	0	4.106968993673043
Sg.M.I.7.16S	d__Bacteria.p__Desulfobacterota	0	2.1253020559591156
Sg.M.I.7.16S	d__Bacteria.p__Actinobacteriota	0	-0.2960317898112721
Sg.M.I.7.16S	d__Bacteria.p__Cyanobacteria	0	0.06498155572605846
Sg.M.I.7.16S	d__Bacteria.p__Campilobacterota	0	3.195191743508603
Sg.M.I.7.16S	d__Bacteria.p__Verrucomicrobiota	0	1.79422066797278
Sg.M.I.7.16S	d__Bacteria.__Unassaigned	0	-4.511843336089537
Sg.M.I.7.16S	d__Bacteria.p__Spirochaetota	0	-7.163391114877832
