OTUID	Sg.M.HC.1.16S	Sg.M.HC.2.16S	Sg.M.HC.3.16S	Sg.M.HC.10.16S	Sg.M.HC.4.16S	Sg.M.HC.5.16S	Sg.M.HC.6.16S	Sg.M.HC.7.16S	Sg.M.HC.8.16S	Sg.M.HC.9.16S	Sg.M.R.1.16S	Sg.M.R.2.16S	Sg.M.R.3.16S	Sg.M.R.10.16S	Sg.M.R.4.16S	Sg.M.R.5.16S	Sg.M.R.6.16S	Sg.M.R.7.16S	Sg.M.R.8.16S	Sg.M.R.9.16S
c4c273c066d2747d4e3bf6e93257dfd7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0
04a0f8ee3769969d7a09b018cefdda98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
755c13aed61e778e4ca4b61110decc2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b900f862c7e018da5ea21a428d6eda09	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	64	127	74	54
1c81489b2c124eaec4ef972bc2d12305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
ad1821c5cb0ae3ba5de9e52f61f5eb3f	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	160	0	0	0
d47f6b7451a78ea404c5783d0b0fdbb9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	34	0	0
19c88c43cefc0efae399898111815666	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
427fbb98d599d2ccdb794a4804a68709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a16986411ff8c5714b2ba245262b5f95	24	105	80	0	0	0	86	0	0	0	77	336	169	349	139	409	2648	1269	670	1236
77840c5a259b4caaeefcc979c6fac208	0	0	0	29	0	0	0	0	0	0	0	0	0	158	0	57	3	0	73	0
e7dda14f2020bb1da5af99886b9c1cfd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	67	3234	532	0
2d6a998c5847cf7e935552f323c8c886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	10	11	0
88225cc82ff505ea2dd06249eee6354c	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
12e2c6e172386c31842cb36a25bea63a	0	0	0	10	0	0	0	0	0	0	0	96	0	167	0	428	0	0	394	0
25d26dffe0bd115d231dc8a8554db8eb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	0
6571d2b98321f14d47d791a61813bd2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2f08b82ec9f4a2ab61dd980df34c305f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	18	0	0	15
361f536e4ad5d69a887702782590969e	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
461b33b0b1e87fa061c2d01d6e86d132	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
0e25a8418769d8efc4d0a482ab521480	0	0	0	19	0	0	41	0	0	0	0	0	59	319	0	67	229	0	104	0
cc116408b956f36a3b5dee06f75b77cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1d21fe497236e5356dc0aaf5efa0b6ea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
716b22e39b7c0a23c9ae84b3d8d52558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
b7173ea1651f9ffadee9394850962d1e	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	86	521	0	0	0
f87cb8882fbf7d7409026c717fba6937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c29e71500c85aa24c58047c7f1b60fc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
7a2d568e92e5f07a43f7b04a6dc80a6f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	22	0	0
bd66caeb972342f39c8ac509a7e23183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dede68dbc0661af0f11541605b3b9d5b	0	25	0	0	0	0	0	0	0	0	27	0	0	0	0	174	0	0	59	0
daa6e7690dd8c544d509b643b122f917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
128000c6772cb8e388e7d93205a1bc22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
