q,Site1,Site2,DT,Non_lethal,Turnover
1,Sg.M.HC.1.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.986341732
1,Sg.M.HC.10.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.878629863
1,Sg.M.HC.2.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.944965063
1,Sg.M.HC.3.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.909227427
1,Sg.M.HC.4.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.988222439
1,Sg.M.HC.5.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.973634548
1,Sg.M.HC.6.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.937679629
1,Sg.M.HC.7.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.996579378
1,Sg.M.HC.8.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.977447244
1,Sg.M.HC.9.16S,Sg.M.E.8.16S,Stomach,Cloaca,0.984027574
1,Sg.M.H.1.16S,Sg.M.E.9.16S,Stomach,Feces,0.690030117
1,Sg.M.H.10.16S,Sg.M.E.9.16S,Stomach,Feces,0.240682337
1,Sg.M.H.2.16S,Sg.M.E.9.16S,Stomach,Feces,0.801828266
1,Sg.M.H.3.16S,Sg.M.E.9.16S,Stomach,Feces,0.71425429
1,Sg.M.H.4.16S,Sg.M.E.9.16S,Stomach,Feces,0.87054853
1,Sg.M.H.5.16S,Sg.M.E.9.16S,Stomach,Feces,0.597722194
1,Sg.M.H.6.16S,Sg.M.E.9.16S,Stomach,Feces,0.633679495
1,Sg.M.H.7.16S,Sg.M.E.9.16S,Stomach,Feces,0.745560662
1,Sg.M.H.8.16S,Sg.M.E.9.16S,Stomach,Feces,0.678734197
1,Sg.M.H.9.16S,Sg.M.E.9.16S,Stomach,Feces,0.672668991
1,Sg.M.HC.1.16S,Sg.M.E.9.16S,Stomach,Cloaca,0.941563399
1,Sg.M.HC.10.16S,Sg.M.E.9.16S,Stomach,Cloaca,0.360875627
1,Sg.M.HC.2.16S,Sg.M.E.9.16S,Stomach,Cloaca,0.669883598
1,Sg.M.HC.3.16S,Sg.M.E.9.16S,Stomach,Cloaca,0.893730545
1,Sg.M.HC.4.16S,Sg.M.E.9.16S,Stomach,Cloaca,1
1,Sg.M.HC.5.16S,Sg.M.E.9.16S,Stomach,Cloaca,0.988936084
