q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp,DT,Non_lethal,Turnover
2,Sg.M.I.5.16S,Sg.M.HC.5.16S,1.983851629,0.008139909,0.016148371,0.008139909,0.016148371,Intestine,Cloaca,0.983851629
0,Sg.M.R.5.16S,Sg.M.HC.5.16S,1.952380952,0.047619048,0.024390244,0.024390244,0.047619048,Rectum,Cloaca,0.952380952
1,Sg.M.R.5.16S,Sg.M.HC.5.16S,1.965280603,0.025264684,0.025264684,0.017666381,0.034719397,Rectum,Cloaca,0.965280603
2,Sg.M.R.5.16S,Sg.M.HC.5.16S,1.983440829,0.008348709,0.016559171,0.008348709,0.016559171,Rectum,Cloaca,0.983440829
0,Sg.M.E.6.16S,Sg.M.HC.6.16S,1.863636364,0.136363636,0.073170732,0.073170732,0.136363636,Stomach,Cloaca,0.863636364
1,Sg.M.E.6.16S,Sg.M.HC.6.16S,1.946565826,0.039068868,0.039068868,0.027450484,0.053434174,Stomach,Cloaca,0.946565826
2,Sg.M.E.6.16S,Sg.M.HC.6.16S,1.996160015,0.001923686,0.003839985,0.001923686,0.003839985,Stomach,Cloaca,0.996160015
0,Sg.M.I.6.16S,Sg.M.HC.6.16S,1.778723404,0.221276596,0.124401914,0.124401914,0.221276596,Intestine,Cloaca,0.778723404
1,Sg.M.I.6.16S,Sg.M.HC.6.16S,1.816280749,0.139012778,0.139012778,0.101151351,0.183719251,Intestine,Cloaca,0.816280749
2,Sg.M.I.6.16S,Sg.M.HC.6.16S,1.933968151,0.034143193,0.066031849,0.034143193,0.066031849,Intestine,Cloaca,0.933968151
0,Sg.M.R.6.16S,Sg.M.HC.6.16S,1.507772021,0.492227979,0.326460481,0.326460481,0.492227979,Rectum,Cloaca,0.507772021
1,Sg.M.R.6.16S,Sg.M.HC.6.16S,1.588489991,0.332344,0.332344,0.259057351,0.411510009,Rectum,Cloaca,0.588489991
2,Sg.M.R.6.16S,Sg.M.HC.6.16S,1.703370132,0.174142931,0.296629868,0.174142931,0.296629868,Rectum,Cloaca,0.703370132
0,Sg.M.E.7.16S,Sg.M.HC.7.16S,1.975903614,0.024096386,0.012195122,0.012195122,0.024096386,Stomach,Cloaca,0.975903614
1,Sg.M.E.7.16S,Sg.M.HC.7.16S,1.992706371,0.005270858,0.005270858,0.003660162,0.007293629,Stomach,Cloaca,0.992706371
2,Sg.M.E.7.16S,Sg.M.HC.7.16S,1.996135869,0.001935805,0.003864131,0.001935805,0.003864131,Stomach,Cloaca,0.996135869
0,Sg.M.I.7.16S,Sg.M.HC.7.16S,1.986885246,0.013114754,0.00660066,0.00660066,0.013114754,Intestine,Cloaca,0.986885246
1,Sg.M.I.7.16S,Sg.M.HC.7.16S,1.892712393,0.079544797,0.079544797,0.05668458,0.107287607,Intestine,Cloaca,0.892712393
2,Sg.M.I.7.16S,Sg.M.HC.7.16S,1.758906155,0.137070329,0.241093845,0.137070329,0.241093845,Intestine,Cloaca,0.758906155
0,Sg.M.R.7.16S,Sg.M.HC.7.16S,1.988269795,0.011730205,0.005899705,0.005899705,0.011730205,Rectum,Cloaca,0.988269795
